Region Id,Region Data,Region Name
1,9104772,Austria
2,11742796,Belgium
3,3839265,Bosnia and Herzegovina
4,6447710,Bulgaria
5,3850894,Croatia
6,10827529,Czech Republic
7,5932654,Denmark
8,1365884,Estonia
9,5563970,Finland
10,68172977,France
11,84358845,Germany
12,10413982,Greece
13,9599744,Hungary
14,387758,Iceland
15,5271395,Ireland
16,58997201,Italy
17,1883008,Latvia
18,39677,Liechtenstein
19,2857279,Lithuania
20,660809,Luxembourg
21,542051,Malta
22,17811291,Netherlands
23,1829954,North Macedonia
24,5488984,Norway
25,36753736,Poland
26,10516621,Portugal
27,920701,Republic of Cyprus
28,6641197,Republic of Serbia
29,19054548,Romania
30,5428792,Slovakia
31,2116972,Slovenia
32,48085361,Spain
33,10521556,Sweden
34,8815385,Switzerland
35,67025542,United Kingdom
